,question,answers
10,How long does it take for my proposal to be approved?,"
The review of the proposal and the sample datasets typically require 2 months. 
One the proposal is ready, it is presented for approval at AISG's 100E approval committee. The committee meetings are scheduled about 7-8 times a year. "
11,How long does it take to approve my proposal?,"The evaluation of the proposal and the sample datasets usually takes 2 months.
Once the proposal is ready, it will be submitted to AISG's 100E Approval Committee for approval. Committee meetings are scheduled approximately 7-8 times per year."
12,What if I do not have any datasets?,"
Datasets are fundamental to developing any deep-learning AI solution. It is preferred that the collection and annotation of data are completed before the commencement of the 100E, as these activities are not included in the scope of the 100E project. 
Volume of data required will be advised by the research team/ AISG engineering team based on the use case and technique used for the AI model development.
Have the correct datasets, is a good indication of the AI Readiness of the company. "
13,What if I don't have any dataset?,"Datasets are fundamental to the development of any deep learning AI solution. It is preferred that data collection and annotation be completed prior to the start of the 100E as these activities are not within the scope of the 100E project.
The required data volume is recommended by the research team/AISG engineering team based on the use case and technique used for AI model development.
Having the right data sets is a good indication of the company's AI readiness."
14,When is the cash contribution required?,"
The total cash (including the Indirect Research Costs and GST) to be paid will be invoiced to the organisation upon the endorsement of the Research Collaboration Agreement (RCA) for the project. "
15,When is the cash contribution required?,The full cash (including Research Indirect Costs and GST) payable will be invoiced to the organization upon approval of the Research Collaboration Agreement (RCA) for the project.
16,What does 'in-kind contribution' mean?,"
Project Sponsor’s in-kind contributions comprise of the manpower assigned to the project. 
They provide the domain expertise required for the development of the AI solution. 
3 key roles are required: 

Product Owner
Project Lead
Technical Lead

These project members have to be employees of the Project Sponsor.  



Role
Function


Product Owner
Business lead who specifies the requirements of the AI solution


Project Lead
Project manager


Technical Lead
Technical engineer responsible for the integration, deployment and maintenance of the AI solution



Datasets (for training the AI models) and infrastructure for deployment or other non-manpower resources are not considered as in-kind contributions. "
17,What does 'in-kind donation' mean?,"The in-kind contributions of the Project Sponsor consist of the workforce assigned to the project.
They provide the domain expertise needed to develop an AI solution.
3 key roles required:

Product Owner
Project Manager
Technical guide

These project participants must be employees of the Project Sponsor.



Role
Function


Product Owner
Business leader defining AI solution requirements


Project Manager
Project Manager


Technical guide
Technical engineer responsible for integrating, deploying and maintaining the AI ​​solution



Datasets (for training AI models) and infrastructure for deployment or other non-labor resources are not considered in-kind contributions."
18,Who are the AI apprentices?,"


The AI apprentices are Singaporeans who have qualified for for a full-time 9-months programme known as the AI Apprenticeship Programme (AIAP).
The apprentices typically are graduates with a university degree, some will have Masters and a few may have a PhD. 
They come from all disciplines and career domain, have strong foundational knowledge in machine learning concepts, and have intermediate-level Python or R programming skills.
More information on the AIAP is provided here.


  "
19,Who is AI Apprentice?,"The AI ​​trainees are Singaporeans who qualified for a 9-month full-time program known as the AI ​​Apprenticeship Program (AIAP).
Trainees typically graduate with a bachelor's degree, some will have master's degrees, and some may have a doctorate.
They come from all professional disciplines and domains, have a strong foundational understanding of machine learning concepts, and have intermediate-level Python or R programming skills.
More information about the AIAP is provided here."
20,How can I prepare for the AIAP programme?,"
This is one of the most frequent question, and we have prepared articles and resources to help you.
Check out the following materials:

AIAP Field Guide (PDF)
AIAP Field Guide (Course)
AIAP Assessment

to find out how you can prepare for the AIAP programme. "
21,How can I prepare for the AIAP program?,"This is one of the most frequently asked questions, and we've put together articles and resources to help.
Check out the resources below.

AIAP Field Guide (PDF)
AIAP Field Guide (Course)
AIAP evaluation

Learn more about how to prepare for the AIAP program here."
22,What type of candidates are we looking for in AIAP?,"
We are looking for candidates who possess a keen interest to pursue a career in the area of machine learning and data science. We believe that candidates can come from any area of specialization, and the eligibility and requirements are as follows:

Eligibility

Singaporean only
Graduated from a recognized university or Polytechnic* (*with at least 3 years of working experience)
Eligible for TeSA CLT / TMCA Funding


Technical Knowledge and proficiency requirements

Intermediate programming experience in one of these languages: Python, R, Scala, Java, C, C++, C#, Go
Understand basic data pre-processing (handling missing data, outliers etc…)
Build machine learning models using frameworks such as TensorFlow, PyTorch, Keras, and scikit-learn
Build machine learning pipeline that consists of modular and sequential components to train and build models
Apply software engineering best practices in basic code documentation (Readme, docstrings and requirements.txt)
Deploy your models in Docker containers
Able to provision and use of cloud computing infrastructure such as Microsoft Azure
Able to do Linux shell scripting
Able to use at least one of the following database and data processing technologies such as SQL, NoSQL, Apache Hadoop and/or Apache Spark
Able to use GitHub/GitLab and perform proper code check-in/out and repository
Understand Statistical fundamentals



Beyond that, we are looking for candidates who are self-directed, independent learners, good problem solvers and work well in teams. Selection is competitive and the above are more likely our minimum requirements.  Please review this article for more information.
This post was modified 4 months ago by wendyt Halim Outcompute to outcompete | Growing our own timber
 "
23,What types of candidates does AIAP look for?,"We are looking for interested applicants to pursue a career in machine learning and data science. Applicants can come from any specialization and the qualifications and requirements are as follows:

eligibility

Singaporeans only
Graduated from an accredited university or polytechnic* (*minimum 3 years work experience)
Eligible for TeSA CLT / TMCA funding


Technical knowledge and proficiency requirements

Intermediate programming experience in one of the following languages: Python, R, Scala, Java, C, C++, C#, Go
Understand basic data preprocessing (handling missing data, outliers, etc...)
Build machine learning models using frameworks such as TensorFlow, PyTorch, Keras, and scikit-learn.
Build a machine learning pipeline consisting of modular and sequential components for training and building models.
Apply software engineering best practices in native code documentation (Readme, docstrings, and requirements.txt)
Deploy the model to a Docker container
Ability to provision and use cloud computing infrastructure such as Microsoft Azure
Linux shell scripter
You can use one or more of the following database and data processing technologies: SQL, NoSQL, Apache Hadoop, and/or Apache Spark.
Ability to use GitHub/GitLab and perform proper code check-in/out and repositories
Understanding statistics basics



Beyond that, we are looking for candidates who are self-directed, independent learners, great problem solvers, and work well in teams. The selection is competitive and the items above are likely our minimum requirements. Review this article for more details.
This post was edited 4 months ago by wendyt Halim. Outcompute to outcompete | grow our own wood"
24,"""Eligible for TeSA CLT / TMCA Funding""","
The requirements have always been there.. "
25,Eligible for TeSA CLT/TMCA funding,There have always been demands...
26,How is the Technical Assessment and Interview conducted?,"
Refer to the article on AIAP® Assessment here
"
27,How is the Technical Assessment and Interview carried out?,Consult the article about AIAP® Assessment here
28,What is the difference between the 9 and 12 months of AIAP apprenticeship period?,"



Programme Period
9 Months
12 Months


Age Criteria
Singaporeans below 40 years
Singaporeans 40 years & above


Programme Outline


2 months hybrid online and face to face mentoring; self-directed learning; and

 

7 months on the job training via multiple AI project tracks to deep-skill




2 months hybrid online and face to face mentoring; self-directed learning

 

7 months on the job training via multiple AI project tracks to deep-skill; and

 

3 months assignment to project teams within AI Singapore to get additional business and technical hands-on experience




 "
29,What is the difference between the 9 and 12 month AIAP internship?,"Program period
9 months
12 months


Age criteria
Singaporeans under the age of 40
Singaporeans 40 and over


Program overview


2 months of hybrid online and face-to-face mentoring; self study; And



7 months of on-the-job training through multiple AI project paths to deep-skill




2 months of hybrid online and face-to-face mentoring; self study



7 months of on-the-job training through multiple AI project paths to deep-skill; And



3 months assignment to project teams within AI Singapore to gain additional business and technical hands-on experience"
30,What are the laptop requirements for AIAP?,"









You are required to use your own laptop for the AI Apprenticeship Programme (AIAP).
We recommend that your laptop meets the minimum requirements as listed below:

Recent (the last 5 years) x86-based hardware with either Intel or AMD processor
64-bit Operating System. This can be Windows (Windows 7 and above), Linux or Mac OS X
A minimum of 8GB of memory
A minimum of 128GB of hard disk space available

For the software stack, we recommend that you install the following:
1. Docker

If you are running Mac OS X, please follow the official instructions from Docker (



DOCS.DOCKER.COM  ""https://docs.docker.com/docker-for-mac/install/""
Install Docker Desktop on Mac
Install Docker for Mac to get started. This guide covers system requirements, where to download, and instructions on how to install and update.


).
If you are running Linux, please follow the official instructions from Docker (



DOCS.DOCKER.COM  ""https://docs.docker.com/install/linux/docker-ce/ubuntu/""
Install Docker Engine on Ubuntu
Jumpstart your client-side server applications with Docker Engine on Ubuntu. This guide details prerequisites and multiple methods to install.


).
If you are running Windows 10 Pro, you can install the official Docker for Desktop from the website (



DOCS.DOCKER.COM  ""https://docs.docker.com/docker-for-windows/install/""
Install Docker Desktop on Windows
Get started with Docker for Windows. This guide covers system requirements, where to download, and instructions on how to install and update.


).
If you are running a Windows OS other than Windows 10 Pro, we strongly recommend you install VirtualBox and install Linux as a guest Virtual Machine for your Docker needs. You can download the VirtualBox here: 


VIRTUALBOX.ORG  ""https://www.virtualbox.org/wiki/Downloads/""
Downloads – Oracle VM VirtualBox


.

2. Python 

Install the latest Anaconda Distribution with Python version 3 (


ANACONDA.COM  ""https://www.anaconda.com/distribution/""
Anaconda | Anaconda Distribution
Anaconda's open-source Distribution is the easiest way to perform Python/R data science and machine learning on a single machine.


).
Please refer to the following link: 



HELP.GITHUB.COM  ""https://help.github.com/articles/set-up-git/""
Set up Git - GitHub Docs
At the heart of GitHub is an open-source version control system (VCS) called Git. Git is responsible for everything GitHub-related that happens locally on your computer.




3. SSH

If you are running Mac OS X or Linux, this should already be available on your system.
If you are running Windows, follow the same instructions for Docker in step 1 and SSH will be available as part of the Docker installation or via a Linux Virtual Machine.

4. A text editor or IDE

We recommend Visual Studio Code (



CODE.VISUALSTUDIO.COM  ""https://code.visualstudio.com/""
Visual Studio Code - Code Editing. Redefined
Visual Studio Code is a code editor redefined and optimized for building and debugging modern web and cloud applications.  Visual Studio Code is free and available on your favorite platform - Linux, macOS, and Windows.


) or if you prefer, any others such as Vim/Emacs, PyCharm (CE), etc.



 




 



















 















 "
31,What are the laptop requirements for AIAP?,"The AI ​​Apprenticeship Program (AIAP) requires the use of your own laptop.
We recommend that your laptop meets the minimum requirements listed below:

Current (in the last 5 years) x86-based hardware with an Intel or AMD processor
64-bit operating system. This can be Windows (from Windows 7), Linux or Mac OS X
At least 8 GB of RAM
At least 128 GB hard disk space available

For the software stack we recommend the following installation:
1. Dockers

If you are using Mac OS X, please follow Docker's official instructions (



DOCS.DOCKER.COM ""https://docs.docker.com/docker-for-mac/install/""
Install Docker Desktop on Mac
Install Docker for Mac to get started. This guide covers the system requirements, where to download, and installation and update instructions.


).
If you are using Linux, please follow Docker's official instructions (



DOCS.DOCKER.COM ""https://docs.docker.com/install/linux/docker-ce/ubuntu/""
Install Docker engine on Ubuntu
Launch your client-side server applications with Docker Engine on Ubuntu. This guide describes the prerequisites and several installation methods.


).
If you're running Windows 10 Pro, you can download the official Docker for Desktop from the website (



DOCS.DOCKER.COM ""https://docs.docker.com/docker-for-windows/install/""
Install Docker Desktop on Windows
Start with Docker for Windows. This guide covers the system requirements, where to download, and installation and update instructions.


).
If you're running a Windows OS other than Windows 10 Pro, we highly recommend installing VirtualBox and installing Linux as a guest virtual machine for your Docker needs. You can download the VirtualBox here:


VIRTUALBOX.ORG ""https://www.virtualbox.org/wiki/Downloads/""
Downloads - Oracle VM VirtualBox


.

2. Python

Install the latest Anaconda distribution with Python version 3 (


ANACONDA.COM ""https://www.anaconda.com/distribution/""
anaconda | Anaconda Distribution
Anaconda's open-source distribution is the easiest way to do Python/R data science and machine learning on a single computer.


).
Please refer to the following link:



HELP.GITHUB.COM ""https://help.github.com/articles/set-up-git/""
Set up Git - GitHub Docs
At the heart of GitHub is an open-source version control system (VCS) called Git. Git is responsible for everything GitHub-related that happens locally on your machine.




3.SSH

If you're running Mac OS X or Linux, this should already be available on your system.
If you're running Windows, follow the same instructions for Docker in Step 1, and SSH is available as part of the Docker installation or through a Linux virtual machine.

4. A text editor or IDE

We recommend Visual Studio Code (



CODE.VISUALSTUDIO.COM ""https://code.visualstudio.com/""
Visual Studio Code - code editing. Newly defined
Visual Studio Code is a code editor redefined and optimized for building and debugging modern web and cloud applications. Visual Studio Code is free and available on your preferred platform - Linux, macOS, and Windows.


) or, if you prefer, others like Vim/Emacs, PyCharm (CE), etc."
32,What if I decided to drop out of AIAP?,"









As AIAP is a fully sponsored programme, if you drop out of the programme, you will have to reimburse AI Singapore for the monthly training allowance that has been paid out to you and the programme fees.








 "
33,What if I decide to stop AIAP?,"As AIAP is a fully sponsored programme, if you withdraw from the programme, you will be required to reimburse AI Singapore for your monthly training allowance and program fees paid."
34,How much is the monthly stipend and how is the monthly training allowance determined?,"
The monthly training allowance or stipend value is calculated based on relevant experiences in AI, ML, Data-science, software engineering, associated software development and educational qualifications listed in your curricula vitae (CV) submitted when you applied for AIAP.
The monthly training allowance is between SGD 3500 – SGD 5500.
It is therefore important to indicate your education qualifications and your work experiences clearly in your CV. The monthly training allowance value offered is not negotiable. "
35,What is the monthly salary and how is the monthly training allowance determined?,"The monthly apprenticeship allowance or scholarship value is calculated based on relevant experience in the fields of AI, ML, data science, software development, related software development and educational qualifications detailed in your resume (CV) submitted when applying to AIAP.
The monthly apprenticeship allowance ranges from SGD 3500 – SGD 5500.
It is therefore important that you make your educational qualifications and work experience clear on your CV. The monthly training allowance offered is non-negotiable."
36,Why do I need to have 2 guarantors when I accept the AIAP admission offer?,"
AIAP is a fully sponsored programme by the Singapore government, hence AI Singapore requires all apprentices to have 2 working Singaporeans / Singapore Permanent Residents with minimum annual income of $30,000 as guarantors.
Guarantors will be responsible for the payback of the fees (sponsored by AISG and/or AISG’s funding partners) when there is a breach of the terms & conditions/trainee agreement and the apprentice is unable to pay back the fees. "
37,Why do I need to have 2 guarantors when I accept the AIAP admission offer?,"As AIAP is a fully sponsored program by the Singapore Government, AI Singapore requires all apprenticeships to have two working Singaporeans/Singapore Permanent Residents with a minimum annual income of $30,000 as guarantors.
The Guarantor is responsible for reimbursement of fees (sponsored by AISG and/or AISG's funding partners) in the event of a breach of the Terms of Use/Trainee Agreement and the Apprentice's failure to repay the fees."
38,What AI tools and frameworks would the AIAP apprentices know?,"









Most of the projects done by the AIAP apprentices would be built in Python and using frameworks such as Tensorflow/Keras, PyTorch.
They would also have built their tools on platforms such as Microsoft Azure Cloud, Google Cloud, AWS and Spark/Databricks.
However, each apprentice would typically be proficient in more tools than those listed above, as they would be involved in different types of projects which require different types of tools and programmes.








 "
39,What AI tools and frameworks would AIAP trainees know?,"Most of the projects carried out by the AIAP students are built in Python and using frameworks such as Tensorflow/Keras, PyTorch.
They would also have built their tools on platforms such as Microsoft Azure Cloud, Google Cloud, AWS and Spark/Databricks.
However, each learner would typically be more proficient in more tools than those listed above as they would be involved in different types of projects that require different types of tools and programs."
40,How do I hire these AI Talents?,"
You can submit your JD via the job portal here at The Epoch.
If you are a 100E project sponsor, or planning to be a 100E project sponsor, we can help organize a 1-2 hour workshop for you to share your job opportunities with the graduating AIAP cohort, and for you to meet them and for the apprentices to learn more about your organization. "
41,How do I hire these AI talents?,"You can submit your JD via the job portal here at The Epoch.
If you are a sponsor of the 100E Project, or plan to be a sponsor of the 100E Project, we can help organize a 1-2 hour workshop to share your job opportunities with the AIAP graduating cohort, and for you to meet with them and the interns to learn more about your organization."
42,Can I hire these Talents as interns?,"
It is unlikley any of our apprentices will join you as an intern.
Our apprentices are well sought after by the industry – 4 out of 5 will secure a full time role in AI/Data Science even before officially completing the Apprenticeship Programme, a testament of the industry’s recognition of our Programme’s rigour. "
43,Can I hire these people as interns?,"It is unlikely that any of our trainees will join you as an intern.
Our trainees are highly sought after by the industry: 4 out of 5 will secure a full-time position in AI/Data Science even before officially completing the Apprenticeship Program, a testament to the industry's recognition of the rigor of our Program."
44,Do I have to pay talent placement fees?,"
There are no costs for partnering us. Our goal is to assist companies in Singapore in recruiting certified AI talent. "
45,Do I have to pay for talent placement?,It costs nothing to work with us. Our goal is to assist Singaporean companies in recruiting certified AI talent.
46,How qualified are the Apprentices?,"
The AIAP is a rigorous programme, and graduates of the AIAP programme land into roles such as Data Scientist, AI/ML Engineers, MLOps Engineers and similar roles with leading organizations such as DBS Bank, Grab, ST Engineering, Google etc.
The apprentices  typically have a degree, and some have Masters and a few are PhD holders across many disciple. "
47,What is the qualification of apprentices?,"The AIAP is a rigorous program, and graduates of the AIAP program advance to roles such as Data Scientist, AI/ML Engineers, MLOps Engineers and similar roles with leading organizations such as DBS Bank, Grab, ST Engineering , Google, etc
Apprentices usually have degrees, and some have master's degrees, and a few have doctorates among many disciples."
48,What if I am halfway through the old AI4E?,"
The old AI4E is archived and you will not be able to access the content anymore.
We encourage you to take this new version to have a better learning outcome. AI4E (version 3.0) has 5 video modules averaging 18 minutes and quizzes to affirm your understanding of key points. You can watch the video and learn at your own pace.


 "
49,What if you are in the middle of the old AI4E?,"The old AI4E will be archived and the content will be inaccessible.
We recommend using this new version for better learning outcomes. AI4E (version 3.0) has 5 video modules averaging 18 minutes and a quiz to check your understanding of the key points. Watch videos and learn at your own pace."
50,Do I get a new badge if I take AI4E (version 3.0)?,"









If you have completed the previous version of AI4E, you will not receive a new badge for completing the new version.











 "
51,Will I get a new badge if I take AI4E (version 3.0)?,"If you completed the previous version of AI4E, you will not receive a new badge for completing the new version."
52,What is the difference between the previous AI4E and version 3.0?,"









We have updated key AI concepts for your understanding. There are also new content on AI Ethics and standardization to promote responsible AI for everyone.











 "
53,What is the difference between the previous AI4E and the 3.0 version?,We've updated key AI concepts for your understanding. There's also new content on AI ethics and standardization to promote responsible AI for all.
54,What will happen to my badge from the previous version of AI4E?,"

It remains listed in your learning dashboard (see My Account). However we strongly encourage you to take the AI4E (version 3.0) to refresh your AI literacy.



 "
55,What will happen to my old AI4E version credential?,"It remains listed in your learning dashboard (see My Account). However, we strongly recommend that you take AI4E (version 3.0) to refresh your AI literacy."
56,Why do you have a new version of AI4E (version 3.0)?,"
We refresh our learning content regularly so that you can understand the latest development of AI and have a better learning outcome.


 "
57,Why do you have a new version of AI4E (version 3.0)?,We update our learning content regularly so that you can understand the latest AI development and have a better learning outcome.
58,How can I sign up for LearnAI AI4E course?,"
Sign up for LearnAI as a free member here to start your learning and enrol into the AI4E course (located in “Everyone” category)


 "
59,How can I enroll in the LearnAI AI4E course?,Sign up for LearnAI as a free member here to start learning and enroll in our AI4E courses (located in the 'All' category).
60,When is the next AI4E workshop?,"
We have conducted our last live-streamed session in Jun 2021. AI4E is now available in LearnAI. To start your learning, sign up for LearnAI as a free member and enrol into the AI4E course (located under the “Everyone” category)


 "
61,When is the next AI4E workshop?,"We conducted our last live stream session in June 2021. AI4E is now available on LearnAI. To start your learning, sign up for LearnAI as a free member and enroll in the AI4E course (located in the ""All"" category)"
62,Will I get a AI4E certificate of completion?,"









Upon completion of our LearnAI AI4E course, you will be awarded a digital badge from LearnAI.











 "
63,Can I get a certificate of completion for AI4E?,"Upon completion of our LearnAI AI4E course, you will receive a LearnAI digital badge."
64,Is LearnAI AI4E course free?,"









Yes, the AI4E course is free. All you need to do is sign up for LearnAI as a free member to start your learning.











 "
65,Is the LearnAI AI4E course free?,"Yes, the AI4E course is free. All you have to do is sign up to LearnAI as a free member to start your learning."
66,"After Completing The LearnAI AI4E Course, I Am Interested To Learn More. What Can I Do Next?","
Upon completion of the LearnAI AI4E courses, you may wish to continue your AI learning by signing up for the AI for Industry (AI4I) programme.
"
67,"After completing the LearnAI AI4E course, I'm interested in learning more. What can I do next?","After completing the LearnAI AI4E courses, you may want to continue your AI learning by enrolling in the AI ​​for Industry (AI4I) program."
68,Will I get a new badge or certificate if I complete the new Literacy in AI?,"


Both courses will be awarded the same Literacy in AI certificate. Only one such certificate will be given regardless of the number of completions.




 "
69,Will I get a new badge or certificate if I complete the new AI Literacy?,"Both courses get the same literacy in AI certificate. Only one such certificate will be issued, regardless of the number of completions."
70,What if I cannot finish the previous version of the course by the end of the transition period?,"


Access to the previous version been removed at the end of the transition period. Your progress will be lost if you were unable to finish the course by then. You will then need to complete the new version of the course in order to receive the certificate.


 


 "
71,What if I can't complete the previous version of the course before the end of the transition period?,Access to the previous version was removed at the end of the transition period. Your progress will be lost if you were unable to complete the course at that time. You will then need to complete the new version of the course in order to receive the certificate.
72,What if I decide to drop out of AI4I?,"









Once you enroll for the course, you are not allowed to drop out / withdraw from the course. You may choose not to complete any of the learning.











 "
73,What if I drop out of AI4I?,"After enrolling in the course, it is no longer possible to cancel/withdraw from the course. You can choose not to complete any of the learning steps."
74,What are the pre-requisites for AI4I?,"









While there are no pre-requisites for AI4I, we recommend learners to complete the AI4E suite of courses (AI for Everyone® Theory, Hands-on (HDB)and Hands-on (Student Grades) ) before embarking on AI4I – Literacy in AI









This post was modified 6 months ago 2 times by  

 "
75,What are the prerequisites for AI4I?,"While there are no prerequisites for the AI4I, we recommend that students complete the AI4E suite of courses (AI Theory for All®, Practical (HDB) and Practical (Student Grades)) before embarking on AI4I – AI Literacy









This post was modified 6 months ago 2 times by"
76,Do I have to give up my current job to join AI4I?,"









No. This course is designed to enable professionals to continue to learn and up-skill at their own pace.











 "
77,Do I have to leave my current job to join AI4I?,No. This course is designed to enable professionals to continue learning and refining their skills at their own pace.
78,Who is AI4I for and what are the outcomes upon completion?,"
AI4I is a fully online programme meant to provide technical executives, managers and developers a learning experience in building data and AI application using Python. Upon completion, you will be able to build basic data/AI applications.


 "
79,Who is AI4I for and what are the end results?,"AI4I is a fully online program designed to provide technical executives, managers and developers with a learning experience in building data and AI applications using Python. Upon completion, you will be able to build basic data/AI applications."
80,My AI4I programme period was extended and I purchased an additional DataCamp Premium Plan Access Code to continue my learning. Where can I locate the Access Code? (for learners from AI4I Batch 5 & May 2020 ONLY),"
The DataCamp Premium Plan Access Code was sent to your email address. Please get in touch with us at learn@aisingapore.org if you did not receive your access code.


 "
81,The duration of the AI4I program has been extended and additional DataCamp premium plan access codes have been purchased to continue learning. Where can I find my access code? (AI4I Batch 5 and May 2020 learners only),The DataCamp Premium Plan Access Code has been sent to your email address. Please contact us at learn@aisingapore.org if you have not received your access code.
82,Will I get a certificate at the end of the AI4I programme?,"
The AI4I programme consists of 3 parts:
1. Literacy in AI
2. Foundations in AI
3. Proficiency in AI
You will receive an e-certificate upon completion of each part.


 "
83,Will I receive a certificate upon completion of the AI4I program?,"The AI4I program consists of 3 parts:
1. AI Literacy
2. Fundamentals in AI
3. AI proficiency
You will receive an e-certificate upon completion of each part."
84,Will I still have access to Datacamp upon completion of AI4I?,"









Your 12-month DataCamp subscription starts upon successful redemption of your DataCamp access code. You may check your DataCamp subscription by following the steps provided at this link. 



 










 "
85,Can I still access Datacamp after AI4I is completed?,Your 12-month DataCamp subscription will begin upon successful redemption of your DataCamp access code. You can check your DataCamp subscription by following the steps on this link.
86,"I'm in the process of learning my Literacy in AI, what should I do?","


You can still continue to complete the previous version of the course up until the end of the transition period.




 "
87,"I am learning my literacy in AI, what should I do?",You can continue to take the previous version of the course until the end of the transition period.
88,"Can I change my AI4S group's start date? As the educator, I need access before the start date to review the content.","


If you need access before your class’s start date, please reflect that as the start date during registration.


 


 "
89,"Can I change the start date of my AI4S group? As the teacher, I need to get there before the start date to review the content.","If you need access before the start date of your class, please indicate that as the start date during registration."
90,"I would like to introduce AI to my students to help them see the relevance of AI in everyday life, where can I start?","


We recommend you to introduce AI Singapore’s online course “AI for Everyone“ to your students.  The course is free. To enrol to the course, you will have to sign up for the free LearnAI membership.


This post was modified 6 months ago by  

 "
